[2025-12-31 17:20:20] SSH | LOGIN | test:sdf
[2025-12-31 17:20:23] SSH | CMD | ls
Sun Jan  4 18:45:43 2026 | HTTP | VISIT | / from 127.0.0.1
Sun Jan  4 19:05:15 2026 | HTTP | VISIT | / from 127.0.0.1
Sun Jan  4 19:10:17 2026 | HTTP | VISIT | / from 127.0.0.1
Sun Jan  4 19:15:27 2026 | HTTP | VISIT | / from 127.0.0.1
Sun Jan  4 19:23:09 2026 | HTTP | ADMIN_LOGIN | IP=127.0.0.1 USER=jhfdj PASS=ifgi
Sun Jan  4 19:23:09 2026 | HTTP | ADMIN_DASHBOARD | IP=127.0.0.1
Sun Jan  4 19:44:58 2026 | HTTP | ADMIN_LOGIN | IP=127.0.0.1 USER=hfhrrrf PASS=frfhjhr
Sun Jan  4 19:44:58 2026 | HTTP | ADMIN_DASHBOARD | IP=127.0.0.1
Sun Jan  4 19:58:13 2026 | HTTP | BRUTE_FORCE_ATTEMPT | IP=127.0.0.1 USER=hi PASS=hello
Sun Jan  4 19:58:50 2026 | HTTP | BRUTE_FORCE_ATTEMPT | IP=127.0.0.1 USER=sq PASS=l
Sun Jan  4 20:08:26 2026 | HTTP | BRUTE_FORCE_ATTEMPT | IP=127.0.0.1 USER=sq PASS=nnn
Sun Jan  4 20:08:51 2026 | HTTP | BRUTE_FORCE_ATTEMPT | IP=127.0.0.1 USER=jvhhrd PASS=kflvjfjv
Sun Jan  4 20:09:02 2026 | HTTP | VISIT | / from 127.0.0.1
Sun Jan  4 20:09:16 2026 | HTTP | ADMIN_LOGIN | IP=127.0.0.1 USER=jrijf PASS=kgoktgr
Sun Jan  4 20:09:16 2026 | HTTP | ADMIN_DASHBOARD | IP=127.0.0.1
Sun Jan  4 20:14:55 2026 | HTTP | ADMIN_LOGIN | IP=127.0.0.1 USER=jrijf PASS=kgjkg
Sun Jan  4 20:14:55 2026 | HTTP | ADMIN_DASHBOARD | IP=127.0.0.1
Sun Jan  4 20:15:30 2026 | HTTP | BRUTE_FORCE_ATTEMPT | IP=127.0.0.1 USER=jfvkjjg PASS=fdjgijrgi
Sun Jan  4 20:20:47 2026 | HTTP | BRUTE_FORCE_ATTEMPT | IP=127.0.0.1 USER=uhguthgu PASS=jkjggfd
Sun Jan  4 20:22:13 2026 | HTTP | BRUTE_FORCE_ATTEMPT | IP=127.0.0.1 USER=uhguthgu PASS=jkjggfd
Sun Jan  4 20:22:28 2026 | HTTP | BRUTE_FORCE_ATTEMPT | IP=127.0.0.1 USER=kfgkrej PASS=kjgjrig
Sun Jan  4 20:22:39 2026 | HTTP | VISIT | / from 127.0.0.1
Sun Jan  4 20:39:35 2026 | HTTP | VISIT | / from 127.0.0.1
Sun Jan  4 21:04:43 2026 | HTTP | VISIT | / from 127.0.0.1
Sun Jan  4 21:05:00 2026 | HTTP | ADMIN_LOGIN | IP=127.0.0.1 USER=,vkf,vfr PASS=,bf,bk,g
Sun Jan  4 21:05:00 2026 | HTTP | ADMIN_DASHBOARD | IP=127.0.0.1
Sun Jan  4 21:06:37 2026 | HTTP | BRUTE_FORCE_ATTEMPT | IP=127.0.0.1 USER=kgkgk PASS=,gtkg,
Sun Jan  4 21:10:47 2026 | HTTP | BRUTE_FORCE_ATTEMPT | IP=127.0.0.1 USER=kgkgk PASS=,gtkg,
Sun Jan  4 21:10:56 2026 | HTTP | VISIT | / from 127.0.0.1
Sun Jan  4 21:17:17 2026 | HTTP | ADMIN_LOGIN | IP=127.0.0.1 USER=krf PASS=k,kgt
Sun Jan  4 21:17:17 2026 | HTTP | ADMIN_DASHBOARD | IP=127.0.0.1
Sun Jan  4 21:22:39 2026 | HTTP | ADMIN_DASHBOARD | IP=127.0.0.1
Sun Jan  4 21:22:49 2026 | HTTP | VISIT | / from 127.0.0.1
Sun Jan  4 21:23:14 2026 | HTTP | ADMIN_LOGIN | IP=127.0.0.1 USER=this is me PASS=hiii
Sun Jan  4 21:23:14 2026 | HTTP | ADMIN_DASHBOARD | IP=127.0.0.1
Sun Jan  4 21:23:41 2026 | HTTP | BRUTE_FORCE_ATTEMPT | IP=127.0.0.1 USER=brute PASS=force
Sun Jan  4 21:24:35 2026 | HTTP | SQL_INJECTION | IP=127.0.0.1 PAYLOAD=OR 1=1 'OR''1''=''1'
